,Title,Type,Price,Location,Bathrooms,Size,Purpose,Bedrooms,Property Added
501,"3 Bed DD L 125 sq Yd Villa FOR SALE At ALI BLOCK All Amenities Nearby Including MOSQUE, General Store & Parks",House,PKR1.35 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,3 days ago
502,272 Sq Yd Ready To Move Villa In Precinct-1 0.5km From Main Entrance. A-One Construction Standard 5Bed Drawing Dining Lounge,House,PKR3 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,5,3 days ago
503,1000 Yards Proper Two Unit Bungalow Available For Sale in Dha Phase 6,House,PKR18 Crore,"DHA Defence, Karachi, Sindh",-,"1,000 Sq. Yd.",For Sale,9,2 hours ago
504,"Prime Location Overseas Block 350 Square Yards House Up For Sale In Bahria Town Karachi Precinct 01 ( Near Park , Semi Corner )",House,PKR4.25 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 day ago
505,"West Open, Brand New, House Spread Over 377 Square Yards In Askari 5 - Sector H Available",House,PKR8.8 Crore,"Cantt, Karachi, Sindh",5,377 Sq. Yd.,For Sale,5,2 days ago
506,A House Of 375 Square Yards In Askari 5 - Sector J,House,PKR7.8 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,2 days ago
507,Affordable Facing Park House For Sale In Gulshan-E-Maymar,House,PKR6.5 Crore,"Gadap Town, Karachi, Sindh",6,400 Sq. Yd.,For Sale,6,2 days ago
508,GROUND PLUS 1 HOUSE AVAILABLE FOR SALE,House,PKR3.7 Crore,"North Karachi, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,15 hours ago
509,BRAND NEW GROUND FLOOR JORI AVAILABLE FOR SALE,Lower Portion,PKR70 Lakh,"North Nazimabad, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,15 hours ago
510,Brand New House For Sale North Nazimabad Block L,House,PKR9 Crore,"North Nazimabad, Karachi, Sindh",6,360 Sq. Yd.,For Sale,6,1 day ago
511,200 Square Yards House Up For Sale In Bahria Town Karachi Precinct 10-A,House,PKR1.75 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
512,House For Sale North Nazimabad Block N,House,PKR12.3 Crore,"North Nazimabad, Karachi, Sindh",6,600 Sq. Yd.,For Sale,6,1 day ago
513,A Great Choice For A Prime Location 125 Square Yards House Available In Bahria Town - Ali Block - Precinct - 12,House,PKR1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",5,125 Sq. Yd.,For Sale,4,1 day ago
514,In Karachi You Can Find The Perfect Prime Location Flat For Sale,Flat,PKR1.02 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",2,117 Sq. Yd.,For Sale,2,1 day ago
515,Prime Location Flat For sale Is Readily Available In Prime Location Of Gulshan-e-Kaneez Fatima - Block 1,Flat,PKR70 Lakh,"Scheme 33, Karachi, Sindh",2,100 Sq. Yd.,For Sale,2,1 day ago
516,Ready To Sale A House 128 Square Yards In Scheme 33 Scheme 33,House,PKR1 Crore,"Scheme 33, Karachi, Sindh",4,128 Sq. Yd.,For Sale,4,1 day ago
517,3 Bd Dd Flat For Sale In Chapal Suncity Scheme 33 Near Safooa Chowrangy,Flat,PKR1.5 Crore,"Scheme 33, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,1 day ago
518,"500 Sq. Yds. Very Well Maintained West Open Bungalow For Sale Off Khayaban-E-Rahat, DHA Phase 6",House,PKR13.25 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 week ago
519,1100 sq ft 2 Bed Lounge Flat Available FOR SALE in Bahria Heights(Ready to Move),Flat,PKR60 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,1 week ago
520,350 Sq Yd 4 Bed DD L Sports Corner Villas With 100sq Yd Back-Yard LAWN At LOWEST RATE Of MARKET,House,PKR1.95 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 week ago
521,"3 Bedroom Flat Is Up For Sale Elevate Your Lifestyle In The Heart Of Bath Island, Clifton",Flat,PKR5.65 Crore,PKR25 Lakh,PKR6 Lakh,48 Months,"Bath Island, Karachi, Sindh",3,233 Sq. Yd.
522,500 Yards Beautiful Bungalow For Sale,House,PKR8.25 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 week ago
523,Sports City Villa Brand New With Key350sq Yd 4Bed DDL Sports Villas With 100sq Yd BackYard LAWN At LOWEST RATE Of MARKET,House,PKR1.95 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,3 days ago
524,Looking For A Corner House In Karachi,House,PKR4.65 Crore,"Gulistan-e-Jauhar, Karachi, Sindh",6,250 Sq. Yd.,For Sale,4,3 days ago
525,Prominently-Located Prime Location Flat Available In Gulshan-E-Maymar For Sale,Flat,PKR1.1 Crore,"Gadap Town, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,3 days ago
526,"""Flat For Sale In Bhayani Heights",Flat,PKR1.2 Crore,"Maskan Chowrangi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,3 days ago
527,152 Square Yards House Up For Sale In Bahria Town Karachi Precinct 02 Iqbal Villa,House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,1 day ago
528,A Stunning Prime Location Flat Is Up For Grabs In Jamshed Road Jamshed Road,Flat,PKR1.2 Crore,"Jamshed Road, Karachi, Sindh",-,89 Sq. Yd.,For Sale,-,1 day ago
529,LUXURY PORTION AVAILABLE FOR SALE AT PRIME LOCATION OF NORTH NAZIMABAD,Upper Portion,PKR2.35 Crore,"North Nazimabad, Karachi, Sindh",3,220 Sq. Yd.,For Sale,3,15 hours ago
530,Brand New Out Class House for Sale in Phase VIII DHA Karachi,House,PKR5 Crore,"DHA Defence, Karachi, Sindh",4,100 Sq. Yd.,For Sale,3,2 days ago
531,3 Bed DD 1800 Sq Ft VIP Flat For Sale,Flat,PKR2.4 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 days ago
532,1200 Sq Ft 1 St Floor West Open Corner Flat Available For Sale In Karachi Administration Society Block 8 (Society Transfer),Flat,PKR1.2 Crore,"Jamshed Town, Karachi, Sindh",3,133 Sq. Yd.,For Sale,2,2 days ago
533,2nd Floor Brand New Portion In Liaquatabad Block 6,Lower Portion,PKR34.5 Lakh,"Liaquatabad, Karachi, Sindh",1,55 Sq. Yd.,For Sale,2,2 days ago
534,JBR Residency 3 BED Apartment Available On Easy Monthly Instalments,House,PKR96.96 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,135 Sq. Yd.,For Sale,3,1 day ago
535,"JBR Residency, 1 BED Apartment in Installments at Most prestigious Location of Bahria",Flat,PKR48 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,68 Sq. Yd.,For Sale,-,1 day ago
536,"JBR Residency, 990sq ft 2BED Ultra Luxury Apartment In Easy Monthly Installment",Flat,PKR84 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,110 Sq. Yd.,For Sale,2,1 day ago
537,JBR Residency 1BED Apartment in Easy Monthly Installment - A++ Construction,Flat,PKR52 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,68 Sq. Yd.,For Sale,-,1 day ago
538,JBR Residency 2BED Apartment In Easy Monthly Installment - A++ Construction,Flat,PKR62.05 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,81 Sq. Yd.,For Sale,2,1 day ago
539,JBR Residency 4BED Ultra Luxury Apartment In Easy Monthly Installment,Flat,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",5,201 Sq. Yd.,For Sale,4,1 day ago
540,JBR Residency 3BED Apartment Available in Installments at Good Location,Flat,PKR96.96 Lakh,"Bahria Town Karachi, Karachi, Sindh",3,135 Sq. Yd.,For Sale,3,1 day ago
541,"Ready to Move Precinct 30, 272sq yds Villa Available for Sell",House,PKR2.45 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,1 day ago
542,500 Yards Top Quality Brand New House For Sale,House,PKR17 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 week ago
543,300 Yards Independent Bungalow Near Mohafiz Available For Sale,House,PKR8.75 Crore,"DHA Defence, Karachi, Sindh",4,300 Sq. Yd.,For Sale,4,1 week ago
544,"JBR Residency, 1 Bed Apartment In Easy Monthly Installments, Asher Fountain Facing",Flat,PKR45 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,68 Sq. Yd.,For Sale,1,1 week ago
545,House Spread Over 375 Square Yards In Askari 5 - Sector J Available,House,PKR7.85 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,1 week ago
546,NHS Karsaz Apartment Is Available For Sale,Flat,PKR9.5 Crore,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,389 Sq. Yd.,For Sale,5,1 week ago
547,Ready To Buy A Prime Location House 240 Square Yards In Karachi,House,PKR5.1 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,5,3 days ago
548,House for Sale in Nazimabad 4 Block-A,House,PKR7 Crore,"Nazimabad, Karachi, Sindh",5,422 Sq. Yd.,For Sale,6,3 days ago
549,Highly-Desirable House Available In Gulshan-E-Iqbal - Block 5 For Sale,House,PKR5.95 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,240 Sq. Yd.,For Sale,-,3 days ago
550,2 Side Corner Bungalow Available For Sale In Block 5,House,PKR6 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,240 Sq. Yd.,For Sale,6,4 days ago
551,"Brand New 240 Sq. yd. Ground+1 House For Sale At Pilibhit Society Near By Karachi University Society Sector 18-A Scheme 33, Karachi.",House,PKR4.95 Crore,"Scheme 33, Karachi, Sindh",6,240 Sq. Yd.,For Sale,8,4 days ago
552,272 Sq Yds Ready Villa Availabe For Sale In P:1 - Jinnah Builders &Amp;Amp; Real Estate,House,PKR3.05 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,1 day ago
553,BRAND NEW FLAT FOR SALE 3 BED LIFT CAR PARKING BUKHARI COMMERCIAL PHASE 6,Flat,PKR3.2 Crore,"DHA Defence, Karachi, Sindh",3,189 Sq. Yd.,For Sale,3,1 day ago
554,Gulshan E Iqbal Block 13-D1 Brand New Ground Floor Portion East Open For Sell With Full Luxury Fittings And Excellent Construction. 3 Bed Attached Bath Drawing Lounge Washing Area Space.,Lower Portion,PKR3 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,2 days ago
555,1St Floor Vip Portion Ready To Move,Upper Portion,PKR2.5 Crore,"North Nazimabad, Karachi, Sindh",3,233 Sq. Yd.,For Sale,3,2 days ago
556,ONE UNIT STYLE HOUSE,House,PKR5.8 Crore,"North Nazimabad, Karachi, Sindh",5,300 Sq. Yd.,For Sale,5,2 days ago
557,Double Story House For Sale,House,PKR12.5 Crore,"North Nazimabad, Karachi, Sindh",6,600 Sq. Yd.,For Sale,8,2 days ago
558,Prime Location 120 Square Yards Spacious Upper Portion Is Available In Federal B Area - Block 14 For sale,Upper Portion,PKR1.2 Crore,"Federal B Area, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,6 hours ago
559,3 BED DD FLAT AVAILABLE FOR SALE PRIME LOCATION,Flat,PKR1.69 Crore,"Scheme 33, Karachi, Sindh",4,183 Sq. Yd.,For Sale,3,1 day ago
560,3 Bedrooms Apartment for Sale In Clifton Block 4,Flat,PKR1.9 Crore,"Clifton, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,1 day ago
561,Flat For Sale,Flat,PKR2.05 Crore,"DHA Defence, Karachi, Sindh",3,139 Sq. Yd.,For Sale,3,1 day ago
562,3 Bd Dd Flat For Sale In Luxury Apartment Of Rafi Premier Residency,Flat,PKR1.9 Crore,"Scheme 33, Karachi, Sindh",3,194 Sq. Yd.,For Sale,3,1 day ago
563,Bungalow for sale phase 6,House,PKR11 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
564,300 Square Yards Single Story House For Sale In DHA Phase 4,House,PKR5.45 Crore,"DHA Defence, Karachi, Sindh",4,300 Sq. Yd.,For Sale,3,1 day ago
565,235sq yd Villas at Precinct-31 Close to Gallery and Mosque are Available FOR SALE,House,PKR1.32 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,1 day ago
566,Ready To Move 272 Sq Yd 4 Bed DDL Luxury Villa FOR SALE Only 4km From The Main Entrance Of BTK,House,PKR2.55 Crore,"Bahria Town Karachi, Karachi, Sindh",4,272 Sq. Yd.,For Sale,4,1 day ago
567,Exceptional 5-Bedroom House For Sale In NHS Karsaz - Make It Yours Today!,House,PKR14 Crore,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,350 Sq. Yd.,For Sale,5,1 week ago
568,Elegant 5-Bedroom House For Sale In NHS Karsaz - Your Luxurious Oasis!,House,PKR13 Crore,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,350 Sq. Yd.,For Sale,5,1 week ago
569,Beautiful Apartment Available For Sale,Flat,PKR9.25 Crore,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,400 Sq. Yd.,For Sale,5,1 week ago
570,Welcome Home To NHS Zamzama For Sale,House,PKR26 Crore,"Zamzama, Karachi, Sindh",4,350 Sq. Yd.,For Sale,5,1 week ago
571,Brand New 500 Yards Luxury Bungalow For Sale | Fully Upgraded | High End Amenities,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,1 week ago
572,Triple Storey House 400 Square Yard Gulshan Iqbal Block 5,House,PKR10.75 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",10,400 Sq. Yd.,For Sale,9,4 days ago
573,Bahria Apartments | Tower 9 & 13 - 2 Bedroom Apartment for Sale,Flat,PKR70 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,4 days ago
574,Luxury Flat Available For Sale,Flat,PKR6.75 Crore,"Shaheed Millat Road, Karachi, Sindh",4,222 Sq. Yd.,For Sale,3,4 days ago
575,250 Square Yards Bungalow Available For Sale In Bath Island Karachi,House,PKR6.6 Crore,"Bath Island, Karachi, Sindh",4,250 Sq. Yd.,For Sale,4,4 days ago
576,Brand New Double Storey House For Sale.,House,PKR1.5 Crore,"Malir, Karachi, Sindh",5,80 Sq. Yd.,For Sale,4,4 days ago
577,Dha 500 Yard Beautiful Owner Build Bungalow For Sale Phase 6,House,PKR8.75 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
578,500 SQUARE YARDS BUNGALOW FOR SALE IN DHA PHASE 6 OWNER BUILT BUNGALOW,House,PKR12.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
579,AERO CLOCK TOWER - Flat For Sale,Flat,PKR1.25 Crore,"North Nazimabad, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,2 days ago
580,Ground Plus One Well Maintained,House,PKR5.6 Crore,"North Nazimabad, Karachi, Sindh",6,233 Sq. Yd.,For Sale,6,2 days ago
581,2 Bed Apartment Is Available For Sale In Bahria Town Karachi,Flat,PKR66.4 Lakh,PKR19.92 Lakh,PKR1.29 Lakh,36 Months,"Bahria Town Karachi, Karachi, Sindh",2,74 Sq. Yd.
582,Beauty Full And Luxury Apartment Located Bukhari Commercial DHA Phase 6,Flat,PKR1.75 Crore,"DHA Defence, Karachi, Sindh",2,111 Sq. Yd.,For Sale,-,2 days ago
583,Beautiful Brend New House,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,2 days ago
584,Quaid Villas 200sq yd Close to Entrance of BTK 3Bed One Unit Villas FOR SALE,House,PKR2.15 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 day ago
585,350sq yd 4Bed DDL Sports Villas with 100sq yd BackYard LAWN at LOWEST RATE of MARKET,House,PKR1.62 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 day ago
586,400 Square Yards House For sale In Gulshan-e-Maymar Karachi,House,PKR5 Crore,"Gadap Town, Karachi, Sindh",4,400 Sq. Yd.,For Sale,4,1 day ago
587,Flate for Sale,Flat,PKR2.75 Crore,"Jamshed Town, Karachi, Sindh",3,167 Sq. Yd.,For Sale,3,4 hours ago
588,Brand New Bungalow For Sale 8 Bed DD Code (12196)*,House,PKR16 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",6,500 Sq. Yd.,For Sale,8,1 day ago
589,"3 Bed Semi Furnished Apartments Located Main Jinnah Avenue, Near Malir Cant Check Post No 06, Karachi",Flat,PKR3 Crore,"Jinnah Avenue, Karachi, Sindh",3,217 Sq. Yd.,For Sale,3,1 day ago
590,"3 Bed Semi Furnished Apartments Located Main Jinnah Avenue, Near Malir Cant Check Post No 06, Karachi",Flat,PKR3 Crore,"Jinnah Avenue, Karachi, Sindh",3,217 Sq. Yd.,For Sale,3,1 day ago
591,2400 Square Feet Flat Available In Metropolis Residency For Sale,Flat,PKR4 Crore,"Jinnah Avenue, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,1 day ago
592,SQ Family Mall Residencia Will Stand Tall As Its Most Extraordinary Edifice.,Flat,PKR4.71 Crore,PKR1.18 Crore,PKR4.8 Lakh,54 Months,"Bahria Town Karachi, Karachi, Sindh",4,361 Sq. Yd.
593,3 Bed Lounge Silver Apartment,Flat,PKR1.94 Crore,"Clifton, Karachi, Sindh",3,180 Sq. Yd.,For Sale,3,1 week ago
594,5 Bedrooms Bahria Hills Villa Available For Sale,House,PKR6.5 Crore,"Bahria Town Karachi, Karachi, Sindh",5,500 Sq. Yd.,For Sale,5,1 week ago
595,Precinct 19 950 Square Feet 2 Bed Apartment Available For Sale,Flat,PKR74 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 week ago
596,Book A 150 Square Yards House In Bahria Town Karachi,House,PKR1.3 Crore,"Bahria Town Karachi, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,1 week ago
597,Brand New Double Storey House For Sale.,House,PKR1.5 Crore,"Malir, Karachi, Sindh",5,80 Sq. Yd.,For Sale,4,4 days ago
598,Prime Location Property For sale In PECHS Block 2 Karachi Is Available Under Rs. 45000000,House,PKR4.5 Crore,"Jamshed Town, Karachi, Sindh",6,200 Sq. Yd.,For Sale,6,4 days ago
599,Good Prime Location 1800 Square Feet Lower Portion For Sale In North Nazimabad - Block J,Lower Portion,PKR1.95 Crore,"North Nazimabad, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,4 days ago
600,New RCC House Is Available,House,PKR1.3 Crore,"Gadap Town, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,4 days ago
601,"3 BEDROOM APARTMENTS AVAILABLE IN 4 YEARS INSTALLMENTS Inside Malir Cantt, Sector-J, Askari-V",Flat,PKR4.7 Crore,PKR1.41 Crore,PKR7 Lakh,47 Months,"Cantt, Karachi, Sindh",4,315 Sq. Yd.
602,*BUNGALOW FOR SALE: YOUR DREAM HOME AWAITS*,House,PKR7.1 Crore,"DHA Defence, Karachi, Sindh",6,315 Sq. Yd.,For Sale,5,1 day ago
603,Luxurious 7-Bedroom Bungalow With Pool And Jacuzzi In DHA Phase 6,House,PKR23.5 Crore,"DHA Defence, Karachi, Sindh",6,600 Sq. Yd.,For Sale,7,1 day ago
604,2 Bed Apartment Is Available For Sale In Bahria Town Karachi,Flat,PKR66.4 Lakh,PKR19.92 Lakh,PKR1.29 Lakh,36 Months,"Bahria Town Karachi, Karachi, Sindh",2,74 Sq. Yd.
605,Beauty Full And Luxury Apartment Located Bukhari Commercial DHA Phase 6,Flat,PKR1.75 Crore,"DHA Defence, Karachi, Sindh",2,111 Sq. Yd.,For Sale,-,2 days ago
606,Beautiful Brend New House,House,PKR22 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,2 days ago
607,FLAT FOR SALE IN GULSHAN E IQBAL 13D1,Flat,PKR72 Lakh,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,72 Sq. Yd.,For Sale,2,2 days ago
608,2 Bed Launch For Sale 4th Floor With Roof Leas Apartments,Flat,PKR60 Lakh,"Scheme 33, Karachi, Sindh",2,78 Sq. Yd.,For Sale,2,2 days ago
609,2400 Square Feet Flat Available In Metropolis Residency For Sale,Flat,PKR4 Crore,"Jinnah Avenue, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,1 day ago
610,4 Bed Semi Furnished Duplex Flat Located Main Jinnah Avenue Near Malir Cant Check Post No 06 Karachi,Flat,PKR4 Crore,"Jinnah Avenue, Karachi, Sindh",4,267 Sq. Yd.,For Sale,4,1 day ago
611,Get In Touch Now To Buy A 2239 Square Feet Flat In Askari 5 Karachi,Flat,PKR3.9 Crore,"Cantt, Karachi, Sindh",3,249 Sq. Yd.,For Sale,3,3 hours ago
612,Flat In Askari 5 - Sector J For sale,Flat,PKR4.4 Crore,"Cantt, Karachi, Sindh",3,286 Sq. Yd.,For Sale,3,3 hours ago
613,Ideal Flat In Karachi Available For Rs. 47000000,Flat,PKR4.7 Crore,"Cantt, Karachi, Sindh",4,333 Sq. Yd.,For Sale,4,3 hours ago
614,House In Askari 5 - Sector J Sized 375 Square Yards Is Available,House,PKR8.1 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,3 hours ago
615,375 Square Yards House In Askari 5 - Sector J,House,PKR8 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,3 hours ago
616,Book House Today In DOHS Phase 2,House,PKR7.1 Crore,"Cantt, Karachi, Sindh",4,311 Sq. Yd.,For Sale,4,3 hours ago
617,272 Sq Yds P:1 Villa Available For Sale - Jinnah Builders &Amp;Amp; Real Estate,House,PKR3.1 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,1 week ago
618,"3Bed DDL 200sq yd Villa FOR SALE. All amenities nearby including Parks, Mosques and Gallery",House,PKR1.64 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,1 week ago
619,Affordable Prime Location Upper Portion Available For sale In Sharfabad,Upper Portion,PKR2.55 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,133 Sq. Yd.,For Sale,2,1 week ago
620,Ideally Located House For sale In Saadi Town Available,House,PKR3.8 Crore,"Scheme 33, Karachi, Sindh",3,240 Sq. Yd.,For Sale,3,1 week ago
621,Custom Built Having The Comforts Of A Modern Life Style 1000 Yards Bungalow For Sale In Dha Phase 8 Karachi,House,PKR35 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,2 weeks ago
622,Brand New Apartment Available For Sale At Lucky One Apartment,Flat,PKR2.8 Crore,"Rashid Minhas Road, Karachi, Sindh",4,200 Sq. Yd.,For Sale,3,4 days ago
623,Chance Deal Fully Renovated Apartment Available for Sale in Bukhari Commercial dha phase 6 karachi,Flat,PKR1.75 Crore,"DHA Defence, Karachi, Sindh",2,113 Sq. Yd.,For Sale,2,4 days ago
624,West Open 500 Square Yards Bungalow Available For Sale In Dha Phase 6 Karachi,House,PKR10.25 Crore,"DHA Defence, Karachi, Sindh",5,500 Sq. Yd.,For Sale,4,4 days ago
625,950 SQFT Flat Available For Sale in Precinct 19 BAHRIA TOWN KARACHI,Flat,PKR60 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,4 days ago
626,350 SQ Yard Villas Available For Sale in Precinct 35 Bahria Sports City Most Elegent Villas In BAHRIA TOWN KARACHI,House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,4 days ago
627,Exceptional 500 Square Yard Bungalow For Sale In DHA Phase 6 Karachi,House,PKR8.8 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,1 day ago
628,"Luxurious Bungalow For Sale In DHA Phase 6, Karachi",House,PKR7.6 Crore,"DHA Defence, Karachi, Sindh",3,300 Sq. Yd.,For Sale,5,1 day ago
629,1 Bed Apartment With Tv Lounge Is Available On Installments In Bahria Town Karachi,Flat,PKR38.8 Lakh,PKR11.64 Lakh,PKR75.44 Thousand,36 Months,"Bahria Town Karachi, Karachi, Sindh",1,43 Sq. Yd.
630,120 Yard Ground Plus 1 House ROK Society - Scheme 33,House,PKR1.9 Crore,"Scheme 33, Karachi, Sindh",5,120 Sq. Yd.,For Sale,5,2 days ago
631,200 Square Yard West Open Double Storey In State Bank Society Scheme 33,House,PKR4.1 Crore,"Scheme 33, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 days ago
632,Premium 120 Square Yards House Is Available For sale In Karachi,House,PKR1.05 Crore,"Karachi Motorway, Karachi, Sindh",3,120 Sq. Yd.,For Sale,3,2 days ago
633,120 Square Yard House Available For Sale In Karachi University Society,House,PKR2.85 Crore,"Scheme 33, Karachi, Sindh",4,120 Sq. Yd.,For Sale,4,1 day ago
634,House Available For Sale,House,PKR1.9 Crore,"Malir, Karachi, Sindh",6,200 Sq. Yd.,For Sale,5,1 day ago
635,Gorgeous 2575 Square Feet Flat For sale Available In Askari 5 - Sector J,Flat,PKR4.4 Crore,"Cantt, Karachi, Sindh",3,286 Sq. Yd.,For Sale,3,3 hours ago
636,"Ready To Move Preecinct 10B, 125sq Yds Villa At Good Location",House,PKR1.12 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago
637,Centrally Located Flat For sale In Askari 5 Available,Flat,PKR3.9 Crore,"Cantt, Karachi, Sindh",3,249 Sq. Yd.,For Sale,3,3 hours ago
638,Book A 3000 Square Feet Flat In Askari 5 - Sector J,Flat,PKR4.7 Crore,"Cantt, Karachi, Sindh",4,333 Sq. Yd.,For Sale,4,3 hours ago
639,"Ready to Move P:6, Villa Available for Sale - A++ Construction",House,PKR2.6 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,1 day ago
640,235sq yds Villa For Sale in Low Price - Good Location,House,PKR1.36 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,1 day ago
641,House 375 Square Yards For sale In Askari 5 - Sector J,House,PKR8.1 Crore,"Cantt, Karachi, Sindh",5,375 Sq. Yd.,For Sale,5,3 hours ago
642,Priced To Sell - Brand New Owner Built 1000 Yards Bungalow For Sale In Phase 8 DHA Karachi,House,PKR22.5 Crore,"DHA Defence, Karachi, Sindh",6,"1,000 Sq. Yd.",For Sale,6,2 weeks ago
643,Priced To Sell Owner Built Prime Location 500 Yards Bungalow For Sale in DHA Phase 8 Karachi,House,PKR16.5 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,2 weeks ago
644,Comforts Of A Modern Life Style 500 Yards Bungalow For Sale In Dha Phase 8 Karachi,House,PKR21 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,5,2 weeks ago
645,Comforts Of A Modern Life Style 500 Yards Bungalow For Sale In DHA Phase 8 Karachi,House,PKR20 Crore,"DHA Defence, Karachi, Sindh",6,500 Sq. Yd.,For Sale,6,2 weeks ago
